GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1301225839,20260427,202604,2026,2026.3205,EDU,PROFESSOR,,,,,,EDU,,,,,,,,,,,,,1,070,070,07,2,7,3,1,3,3.60777058279371,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260427130000,https://thesun.ng/osezua-to-deliver-11th-oaustech-inaugural-lecture/
1301226297,20260427,202604,2026,2026.3205,NGA,NIGERIA,NGA,,,,,,,,EDU,COLLEGE,,,,,,EDU,,,0,042,042,04,1,1.9,2,1,2,3.60777058279371,4,"Okitipupa, Ondo, Nigeria",NI,NI48,191290,6.50475,4.78391,-2022693,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260427130000,https://thesun.ng/osezua-to-deliver-11th-oaustech-inaugural-lecture/
1301225853,20260427,202604,2026,2026.3205,EDU,PROFESSOR,,,,,,EDU,,,NGA,NIGERIA,NGA,,,,,,,,1,070,070,07,2,7,1,1,1,3.60777058279371,4,"Okitipupa, Ondo, Nigeria",NI,NI48,191290,6.50475,4.78391,-2022693,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260427130000,https://thesun.ng/osezua-to-deliver-11th-oaustech-inaugural-lecture/
1301241742,20260427,202604,2026,2026.3205,TGO,TOGO,TGO,,,,,,,,BEN,BENIN,BEN,,,,,,,,1,051,051,05,1,3.4,1,1,1,3.3587786259542,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260427144500,https://www.prurgent.com/2026-04-26/pressrelease475157.htm
1301275374,20260427,202604,2026,2026.3205,SEN,SENEGAL,SEN,,,,,,,,BEN,BENIN,BEN,,,,,,,,1,057,057,05,1,8,4,1,4,3.22580645161291,4,"Dakar, Dakar, Senegal",SG,SG01,,14.7367,-17.6339,-2266494,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260427183000,https://www.developingtelecoms.com/telecom-business/telecom-regulation/20159-togo-benin-and-senegal-launch-free-roaming.html
1301274441,20260427,202604,2026,2026.3205,BEN,BENIN,BEN,,,,,,,,SEN,SENEGAL,SEN,,,,,,,,1,057,057,05,1,8,1,1,1,3.22580645161291,4,"Dakar, Dakar, Senegal",SG,SG01,,14.7367,-17.6339,-2266494,4,"Dakar, Dakar, Senegal",SG,SG01,,14.7367,-17.6339,-2266494,1,Benin,BN,BN,,9.5,2.25,BN,20260427183000,https://www.developingtelecoms.com/telecom-business/telecom-regulation/20159-togo-benin-and-senegal-launch-free-roaming.html
1301296904,20260427,202604,2026,2026.3205,BUS,PRODUCER,,,,,,BUS,,,,,,,,,,,,,1,016,016,01,1,-2,10,1,10,-1.72413793103449,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260427211500,https://lanouvelletribune.info/2026/04/benin-face-a-la-flambee-les-producteurs-de-ciment-accusent-les-commercants-indelicats/
1301191342,20260427,202604,2026,2026.3205,BEN,BENIN,BEN,,,,,,,,GHA,GHANA,GHA,,,,,,,,1,043,043,04,1,2.8,2,1,2,-4.63576158940397,1,Benin,BN,BN,,9.5,2.25,BN,4,"Ntotroso, Ghana (general), Ghana",GH,GH00,190708,7.06959,-2.31802,-2077047,1,Benin,BN,BN,,9.5,2.25,BN,20260427084500,https://ghanaiantimes.com.gh/spiritualist-gets-3-years-for-fraud/
1301275373,20260427,202604,2026,2026.3205,SEN,SENEGAL,SEN,,,,,,,,BEN,BENIN,BEN,,,,,,,,1,057,057,05,1,8,1,1,1,3.22580645161291,4,"Dakar, Dakar, Senegal",SG,SG01,,14.7367,-17.6339,-2266494,4,"Dakar, Dakar, Senegal",SG,SG01,,14.7367,-17.6339,-2266494,1,Benin,BN,BN,,9.5,2.25,BN,20260427183000,https://www.developingtelecoms.com/telecom-business/telecom-regulation/20159-togo-benin-and-senegal-launch-free-roaming.html
1301250183,20260427,202604,2026,2026.3205,BEN,COTONOU,BEN,,,,,,,,,,,,,,,,,,1,020,020,02,1,3,20,1,20,-0.990099009900979,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20260427154500,https://english.news.cn/africa/20260427/ec3da1777d5c45959787fb4a9878969f/c.html
