SQLDATE,total_evenements,conflits,goldstein_moy,avgtone_moy,taux_conflit_%
2025-04,466,161,-0.533,-2.909,34.5
2025-05,1807,462,0.704,-1.026,25.6
2025-06,908,226,0.699,-1.605,24.9
2025-07,2284,524,0.915,-1.074,22.9
2025-08,1516,382,0.814,-1.42,25.2
2025-09,1630,396,0.623,-1.142,24.3
2025-10,1676,332,1.106,-0.032,19.8
2025-11,1789,423,0.65,-0.708,23.6
2025-12,4221,1339,0.158,-2.646,31.7
2026-01,1544,426,0.469,-2.065,27.6
2026-02,1730,513,0.048,-2.613,29.7
2026-03,1453,424,0.165,-1.647,29.2
2026-04,1754,473,0.386,-1.706,27.0
